:START_ID(Job-ID),:END_ID(Industry-ID),:TYPE
job_fd547cd6633e4256,industry_f81331fdf66577ea,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_e427b1aedad44472,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_89d521992c13fd3a,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_200945027317732e,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_d2c063f337e67c7c,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_e427b1aedad44472,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_4ded0541b052ab99,BELONGS_TO_INDUSTRY
job_4142cecaac11f927,industry_d15f4733aca9a61c,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_f52bc719d8e8ec2f,BELONGS_TO_INDUSTRY
job_f76ae5ed9254dcc0,industry_200945027317732e,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_8e12111f26a77763,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_51092e2086259104,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_da89135649a6533f,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_200945027317732e,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_39f568947f178ca1,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_e427b1aedad44472,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_4585c19e2758f6b9,BELONGS_TO_INDUSTRY
job_cf31214be2321080,industry_6eec3c5fdf8d905f,BELONGS_TO_INDUSTRY
job_f76ae5ed9254dcc0,industry_f068f0dad74789be,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_3089aaf83219bb93,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_dd2785e67e7675b9,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_b7fb57b133832cc5,BELONGS_TO_INDUSTRY
job_4142cecaac11f927,industry_d2c063f337e67c7c,BELONGS_TO_INDUSTRY
job_f76ae5ed9254dcc0,industry_a2fac045945aa8bb,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_65d244565abe7684,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_c10375dda2dfc794,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_cabac6a9e1e5edde,BELONGS_TO_INDUSTRY
job_cf31214be2321080,industry_f95f417e0f211833,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_d1ebe8dcc9bb9f16,BELONGS_TO_INDUSTRY
job_c022617a8d3fb9ea,industry_4f63bf863ab6b1b8,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_87999135cf7bc0f7,BELONGS_TO_INDUSTRY
job_cf31214be2321080,industry_cdcaf5a2a8b69054,BELONGS_TO_INDUSTRY
job_cf31214be2321080,industry_819ac9c0d2ffc297,BELONGS_TO_INDUSTRY
job_f76ae5ed9254dcc0,industry_2711b1ac2b0873da,BELONGS_TO_INDUSTRY
job_fd547cd6633e4256,industry_d2c063f337e67c7c,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_200945027317732e,BELONGS_TO_INDUSTRY
job_fd547cd6633e4256,industry_80b57721c53efc5d,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_fa483df301ef2d85,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_6cc86be066fd05c4,BELONGS_TO_INDUSTRY
job_4142cecaac11f927,industry_c00eca71f6d6d9d7,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_d2624f949680948c,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_6eec3c5fdf8d905f,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_da89135649a6533f,BELONGS_TO_INDUSTRY
job_cf31214be2321080,industry_28cf17ca97eb8dc6,BELONGS_TO_INDUSTRY
job_fd547cd6633e4256,industry_0b7c760665070673,BELONGS_TO_INDUSTRY
job_93f725a07423fe1c,industry_e2e1bc841ee19b5a,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_16a881b0187bfef6,BELONGS_TO_INDUSTRY
job_c022617a8d3fb9ea,industry_16cb877b657d495f,BELONGS_TO_INDUSTRY
job_3c4f968cb95317e0,industry_1e2af4b2bf41c3f9,BELONGS_TO_INDUSTRY
job_fd547cd6633e4256,industry_ac671ffa32390020,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_ab3b1b642907a5b3,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_bc53c34c73c002d9,BELONGS_TO_INDUSTRY
job_cf31214be2321080,industry_d5ceb41158584196,BELONGS_TO_INDUSTRY
job_fd547cd6633e4256,industry_6eec3c5fdf8d905f,BELONGS_TO_INDUSTRY
job_99a272194eb867ea,industry_949195ecd91f53f3,BELONGS_TO_INDUSTRY
job_f76ae5ed9254dcc0,industry_311fa3f37e1b43ab,BELONGS_TO_INDUSTRY
job_fd547cd6633e4256,industry_949195ecd91f53f3,BELONGS_TO_INDUSTRY
job_4c14765528b76b65,industry_d2c063f337e67c7c,BELONGS_TO_INDUSTRY
job_cf31214be2321080,industry_fe8571699d5ba879,BELONGS_TO_INDUSTRY
