:START_ID(Job-ID),:END_ID(Degree-ID),:TYPE
job_4c14765528b76b65,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_4c14765528b76b65,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_93f725a07423fe1c,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_99a272194eb867ea,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_99a272194eb867ea,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_4142cecaac11f927,degree_e6de6983db8790f7,REQUIRES_DEGREE
job_4142cecaac11f927,degree_c7ae7b08341ff58b,REQUIRES_DEGREE
job_f76ae5ed9254dcc0,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_f76ae5ed9254dcc0,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_3c4f968cb95317e0,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_3c4f968cb95317e0,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_cf31214be2321080,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_cf31214be2321080,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_c022617a8d3fb9ea,degree_7d27be0093106d24,REQUIRES_DEGREE
job_13b4e06b73fe2f6d,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_13b4e06b73fe2f6d,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_eb3dbea0981af154,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_eb3dbea0981af154,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_fa668a72b1ae10cd,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_fa668a72b1ae10cd,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_b3b8330c883382e2,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_b3b8330c883382e2,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_aca446cd16fece9b,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_aca446cd16fece9b,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_04aea8834ee4f6d8,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_04aea8834ee4f6d8,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_1345f77a5e9f3679,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_1345f77a5e9f3679,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_aabdf996c696374d,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_aabdf996c696374d,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_bdcfba1bbf410d2e,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_16ad867ce3876074,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_16ad867ce3876074,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_8d8c65e04f25c1f8,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_8d8c65e04f25c1f8,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_190a13c69bcd01e8,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_190a13c69bcd01e8,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_45c0014d002b2441,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_45c0014d002b2441,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_e7bf21c3293048cb,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_e7bf21c3293048cb,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_cd2fec21f8eb7370,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_cd2fec21f8eb7370,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_3a5fa7768ca17150,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_3a5fa7768ca17150,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_169613d0b39d1779,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_169613d0b39d1779,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_6c9333a2f8189af5,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_6c9333a2f8189af5,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_e0b7fbae4b6d484e,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_e0b7fbae4b6d484e,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_b647b2ff687cce63,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_b647b2ff687cce63,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_2899702b726f1bbc,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_2899702b726f1bbc,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_d751bc4305e88659,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_d751bc4305e88659,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_a3c4c06d0aa660fb,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_a3c4c06d0aa660fb,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_2eb49af2b11d1f42,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_2eb49af2b11d1f42,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_0958f7936b560695,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_0958f7936b560695,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_0973384dd5cd70c7,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_864675fae7fe40e4,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_864675fae7fe40e4,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_05360c01c2884c0f,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_05360c01c2884c0f,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_0f21fcc344e370fe,degree_c7689824eb4d6ebc,REQUIRES_DEGREE
job_0f21fcc344e370fe,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_0f21fcc344e370fe,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_7f69d84724c9c614,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_7f69d84724c9c614,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_7c734d8dbd7cefc0,degree_c7689824eb4d6ebc,REQUIRES_DEGREE
job_a30ef424ca18342c,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_a30ef424ca18342c,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_026f1ca8b5d14b87,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_026f1ca8b5d14b87,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_2eeb8e13a8e39941,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_2eeb8e13a8e39941,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_830cb212a6df619f,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_cfce5a26d8af9321,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_cfce5a26d8af9321,degree_0e5c449d743263d0,REQUIRES_DEGREE
job_8fd2e93c20a6cb9c,degree_2aa9f5258c638616,REQUIRES_DEGREE
job_8fd2e93c20a6cb9c,degree_76a51a5c933b258d,REQUIRES_DEGREE
job_03e5f6eca9c9aa3c,degree_40b14fc519ebae0a,REQUIRES_DEGREE
job_03e5f6eca9c9aa3c,degree_0e5c449d743263d0,REQUIRES_DEGREE
